Age,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Unnamed: 10,Unnamed: 11,Product_Rating,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Customer_Satisfaction,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Shipping_Preference
29.0,,,,,,,Mobile Accessories,165.09815139922443,11.0,,,2,,,,,7,,,,,,,,Express
22.0,,,,,,,Toys & Games,260.0685475924031,12.0,,,3,,,,,8,,,,,,,,No Preference
27.0,,,,,,,Packages),219.94911005020262,9.0,,,3,,,,,10,,,,,,,,Express
19.0,,,,,,,Books,152.2385956371354,10.0,,,2,,,,,3,,,,,,,,No Preference
32.0,,,,,,,Food & Beverages,419.2851606422505,7.0,,,3,,,,,8,,,,,,,,No Preference
15.0,,,,,,,Furniture,114.57048798542681,3.0,,,1,,,,,8,,,,,,,,Standard
38.0,,,,,,,Electronics,491.379103444871,1.0,,,4,,,,,2,,,,,,,,No Preference
47.0,,,,,,,Food & Beverages,447.6301608731079,4.0,,,5,,,,,3,,,,,,,,Standard
24.0,,,,,,,Health Supplements,152.12357145477955,3.0,,,2,,,,,4,,,,,,,,Express
34.0,,,,,,,Food & Beverages,316.38747560543084,10.0,,,1,,,,,6,,,,,,,,Standard
31.0,,,,,,,Toys & Games,154.45767625890045,5.0,,,4,,,,,10,,,,,,,,No Preference
31.0,,,,,,,Gardening & Outdoors,331.7358286216481,11.0,,,3,,,,,10,,,,,,,,No Preference
48.0,,,,,,,Beauty & Personal Care,215.5450324077009,3.0,,,3,,,,,9,,,,,,,,Express
44.0,,,,,,,Sports & Outdoors,460.3509505898571,4.0,,,4,,,,,5,,,,,,,,Express
30.0,,,,,,,Software & Apps,237.90498210350847,7.0,,,3,,,,,9,,,,,,,,Standard
24.0,,,,,,,Sports & Outdoors,69.47238676881881,10.0,,,1,,,,,7,,,,,,,,No Preference
31.0,,,,,,,Mobile Accessories,434.78860399014536,9.0,,,5,,,,,4,,,,,,,,Express
43.0,,,,,,,Home Appliances,284.2804079421136,9.0,,,1,,,,,4,,,,,,,,Standard
