customer_id,age,income,plan,monthly_spend,sessions_per_week,churn_risk,satisfaction_score,referrals,region
1,40,85451,free,34.47,2,low,6.2,2,US-West
2,33,154145,free,59.74,3,low,7.6,1,LATAM
3,42,21180,basic,8.61,8,low,8.5,1,EU
4,53,68719,pro,12.53,8,low,5.1,1,US-East
5,32,33177,free,109.99,6,low,8.2,1,US-West
6,32,36597,enterprise,17.17,5,low,5.9,1,EU
7,53,34357,free,11.62,5,low,8.7,0,US-East
8,44,29190,basic,56.64,9,low,6.1,0,US-East
9,29,50468,pro,108.39,6,high,6.5,1,US-West
10,41,29775,pro,67.96,11,low,9.2,2,US-West
11,29,57657,pro,89.66,10,low,8.8,1,US-West
12,29,47565,pro,15.54,9,medium,7.9,3,US-East
13,37,42473,free,7.99,10,high,5.2,1,US-East
14,18,28437,pro,148.61,8,low,,1,EU
15,18,34680,free,23.98,5,medium,9.7,0,US-West
16,28,77129,pro,25.77,8,medium,6.5,2,US-East
17,22,66207,basic,124.99,5,medium,5.9,2,US-West
18,38,27267,pro,57.76,7,low,8.5,0,EU
19,24,52031,basic,52.24,10,medium,6.3,0,US-East
20,18,76943,basic,288.59,3,low,6.1,0,US-East
21,52,20000,basic,17.4,2,medium,5.3,2,US-East
22,32,67915,pro,83.75,9,medium,6.8,1,APAC
23,35,32939,free,35.06,4,low,7.4,2,APAC
24,18,69034,free,43.32,4,medium,7.9,0,APAC
25,28,31009,free,152.7,8,low,8.9,2,EU
26,36,20000,free,55.03,5,medium,8.3,2,EU
27,21,20000,pro,56.73,7,low,7.2,0,US-West
28,39,50455,free,96.79,7,low,7.2,0,EU
29,27,57287,enterprise,22.99,7,low,8.3,1,US-East
30,31,28492,free,14.31,2,high,7.4,1,EU
31,27,71908,free,11.65,2,low,7.7,1,APAC
32,57,20000,pro,4.64,6,low,6.8,1,US-West
33,34,47115,basic,258.84,3,low,6.0,2,US-West
34,22,23703,basic,10.99,8,medium,5.3,3,US-East
35,44,33153,basic,26.54,6,medium,8.5,1,EU
36,20,50434,pro,25.11,3,low,8.4,2,EU
37,37,29253,free,45.03,8,low,8.4,2,APAC
38,18,38920,enterprise,74.87,8,low,7.3,0,US-West
39,19,89659,enterprise,117.44,7,low,9.6,2,APAC
40,37,34678,basic,18.48,5,low,6.8,2,EU
41,43,80936,free,42.03,7,medium,8.9,3,APAC
42,37,24888,basic,43.93,6,low,7.4,1,US-West
43,33,67365,free,25.82,3,low,6.6,1,US-West
44,31,116417,free,247.84,4,low,8.4,0,EU
45,18,20000,free,54.11,2,high,6.1,0,EU
46,26,30389,basic,69.05,4,high,6.0,1,LATAM
47,29,69302,pro,64.26,4,medium,7.6,1,US-East
48,47,43398,pro,107.07,12,low,7.4,0,US-East
49,39,61248,pro,39.69,6,low,,1,LATAM
50,18,34118,basic,9.05,1,low,9.3,1,US-West
51,38,51634,free,49.39,5,low,8.6,2,EU
52,30,44649,free,17.26,4,medium,7.7,1,US-West
53,26,98781,enterprise,29.28,9,medium,9.0,0,US-East
54,42,57105,free,59.52,5,high,6.3,1,APAC
55,47,60027,pro,114.24,11,medium,7.5,0,EU
56,46,38287,basic,33.83,5,low,7.0,0,US-West
57,24,36586,basic,45.1,7,medium,7.4,0,US-West
58,31,37815,pro,181.67,7,low,2.7,2,APAC
59,38,62110,basic,42.13,1,low,7.8,1,US-East
60,46,38078,pro,446.61,8,medium,6.8,1,APAC
61,29,58329,enterprise,58.29,7,low,9.9,1,US-East
62,32,170286,basic,8.54,3,low,7.5,1,EU
63,21,82675,free,105.51,2,low,5.7,1,LATAM
64,20,40311,basic,48.48,12,medium,7.4,1,EU
65,44,100783,enterprise,180.4,8,medium,5.9,1,US-West
66,51,38374,free,64.92,10,low,8.2,3,EU
67,34,20000,basic,28.83,6,medium,7.9,1,US-West
68,47,26772,basic,9.73,1,low,8.9,1,US-East
69,39,20000,pro,26.87,9,low,6.3,2,LATAM
