customer_id,age,income,plan,monthly_spend,sessions_per_week,churn_risk,satisfaction_score,referrals,region
191.0,33.0,64176.0,pro,104.52774635857408,6.0,medium,7.4326658842672515,1,EU
321.0,33.0,76268.0,free,34.66799545958551,5.0,low,3.082932344314323,1,US-East
59.0,40.0,118447.0,basic,3.0149286915788487,4.0,low,5.028625452955696,2,US-West
253.0,22.0,36876.0,free,36.519803341356294,13.0,low,,3,US-West
491.0,39.0,85259.0,free,106.2360840677679,7.0,medium,8.137736360744993,2,US-West
116.0,33.0,74961.0,free,70.76921243310386,10.0,medium,10.054228523520068,2,APAC
349.0,31.0,77850.0,basic,32.281054193343365,2.0,medium,8.832179635646819,1,US-West
219.0,30.0,69370.0,pro,6.948420861435885,4.0,low,9.338397935593672,0,US-East
184.0,37.0,67805.0,basic,109.22504851468335,6.0,low,6.775446706301546,0,US-East
404.0,27.0,69052.0,free,45.07373283161231,5.0,low,3.4941400530895765,2,US-East
105.0,45.0,64771.0,free,301.5856250885964,7.0,medium,5.3740258777108965,0,US-West
78.0,32.0,35089.0,enterprise,-9.354431655784811,6.0,medium,9.083562671081237,1,US-West
502.0,33.0,54742.0,free,-14.19508375727321,10.0,medium,5.930767853390872,0,APAC
270.0,25.0,35814.0,pro,-4.729651969671103,4.0,low,5.624859449947211,1,US-West
5.0,43.0,18115.0,pro,294.71377227556326,10.0,high,4.9106160835492725,0,EU
153.0,37.0,63260.0,basic,-18.375455056546947,-1.0,medium,10.90060502913123,1,US-East
212.0,31.0,93256.0,enterprise,44.41629976562491,5.0,medium,6.797040941720599,2,US-East
244.0,42.0,50840.0,basic,110.33909745105427,8.0,low,6.2086380338112495,0,EU
322.0,42.0,89059.0,enterprise,25.29597627538908,5.0,medium,5.578172793348118,0,US-West
118.0,36.0,49528.0,pro,30.139682490764372,6.0,medium,3.5570684438096314,2,US-West
128.0,46.0,56051.0,pro,4.321814967160851,4.0,low,4.4285587375492135,0,US-East
279.0,30.0,64201.0,enterprise,-5.891332717500038,6.0,medium,10.517793803367146,2,US-West
5.0,28.0,36659.0,basic,39.82712191176399,4.0,high,5.171709708226871,2,US-East
431.0,35.0,116410.0,free,-12.212903276757654,4.0,medium,9.350468356589387,1,US-East
235.0,29.0,74244.0,free,43.72675615260933,7.0,low,9.113972617093127,2,LATAM
239.0,36.0,56698.0,basic,-0.06353345452782122,4.0,low,8.083112016822778,0,US-East
159.0,62.0,42647.0,basic,8.96205920014761,9.0,medium,7.617790248707752,3,US-East
247.0,31.0,92193.0,free,-5.975693559097124,9.0,low,6.139086348942884,2,US-East
355.0,31.0,62660.0,enterprise,-25.13133723293495,7.0,low,5.648844715770375,2,EU
380.0,33.0,79965.0,enterprise,9.89144430450268,10.0,low,8.980404400618085,0,US-West
333.0,35.0,54755.0,free,-43.984104110366175,5.0,medium,8.812520321085284,3,LATAM
310.0,40.0,51175.0,enterprise,32.988589649732624,14.0,low,8.78983074907224,2,US-West
147.0,35.0,58026.0,basic,85.7893887283148,1.0,low,8.314454530051332,0,US-East
254.0,22.0,46772.0,free,-18.56459667317134,7.0,high,6.138671353844542,1,US-West
493.0,30.0,45404.0,basic,1.3549493760081042,7.0,low,,3,US-East
253.0,39.0,34824.0,free,25.715148121573,5.0,low,3.807994043733339,2,EU
336.0,37.0,32984.0,free,182.1047557460951,9.0,low,7.1697105348617045,0,US-East
223.0,30.0,33562.0,pro,32.249771292456465,3.0,high,5.889338623729105,0,US-West
274.0,36.0,49867.0,pro,-5.773323601481735,8.0,low,,0,US-West
