Age,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Product_Rating,Customer_Satisfaction,Shipping_Preference
22,Gardening & Outdoors,333.8,4,5,7,No Preference
49,Food & Beverages,222.22,11,1,5,Standard
24,Office Supplies,426.22,2,5,7,No Preference
29,Home Appliances,101.31,6,1,1,Express
33,Furniture,211.7,6,4,10,No Preference
45,Office Supplies,487.95,8,3,3,No Preference
21,Furniture,486.4,12,5,9,Express
39,Books,218.06,6,4,9,No Preference
24,Office Supplies,201.96,8,5,2,Standard
25,Sports & Outdoors,418.83,7,5,5,No Preference
33,Mobile Accessories,389.7,12,4,4,Express
38,Sports & Outdoors,238.93,5,3,10,No Preference
34,Luxury Goods,61.22,7,2,7,No Preference
32,Animal Feed,79.81,4,5,9,Standard
30,Health Care,58.51,2,4,4,No Preference
40,Hotels,109.29,3,4,2,Express
37,Furniture,356.45,6,5,7,Standard
38,Mobile Accessories,236.99,10,4,8,No Preference
36,Packages),454.39,10,4,3,Standard
29,Electronics,490.75,10,4,4,Standard
21,Software & Apps,463.07,7,2,2,No Preference
36,Baby Products,56.74,5,1,6,Express
38,Toys & Games,371.32,7,4,1,Standard
37,Software & Apps,461.0,7,4,8,Standard
33,Food & Beverages,253.37,6,1,10,Standard
37,Packages),136.53,3,4,3,Standard
31,Arts & Crafts,489.05,10,3,2,Standard
50,Electronics,81.91,10,4,4,Express
50,Arts & Crafts,135.8,2,5,2,No Preference
45,Health Supplements,382.24,12,5,4,Standard
33,Gardening & Outdoors,354.7,5,2,7,Express
24,Mobile Accessories,433.82,6,2,8,Express
39,Mobile Accessories,282.13,5,5,2,Standard
48,Mobile Accessories,454.38,10,4,10,No Preference
25,Mobile Accessories,138.88,7,4,3,No Preference
30,Books,52.34,6,4,5,Express
34,Groceries,338.2,7,5,9,Standard
21,Toys & Games,263.15,3,5,10,Express
36,Software & Apps,371.58,2,1,10,No Preference
30,Health Care,353.4,2,3,1,No Preference
46,Software & Apps,329.41,5,3,1,No Preference
46,Food & Beverages,54.46,5,5,1,Standard
43,Books,257.12,8,1,1,No Preference
43,Arts & Crafts,293.04,11,2,3,Standard
34,Books,110.4,12,1,3,Standard
42,Mobile Accessories,76.27,4,3,8,Standard
40,Toys & Games,392.08,6,5,7,Express
25,Toys & Games,51.22,6,1,5,Standard
38,Clothing,227.57,2,2,6,No Preference
46,Groceries,378.87,7,2,2,No Preference
24,Beauty & Personal Care,423.92,8,1,9,Standard
43,Arts & Crafts,111.24,9,2,2,No Preference
37,Travel & Leisure (Flights,299.31,7,4,3,Express
42,Animal Feed,169.28,7,4,1,No Preference
29,Office Supplies,449.13,9,1,2,No Preference
35,Animal Feed,427.48,6,2,1,Standard
27,Sports & Outdoors,171.61,3,1,6,Express
40,Books,240.28,3,5,7,Standard
34,Furniture,310.17,6,3,10,No Preference
25,Hotels,166.0,10,3,10,Express
38,Baby Products,362.01,2,4,1,Express
33,Travel & Leisure (Flights,348.5,3,3,6,No Preference
