Age,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Product_Rating,Customer_Satisfaction,Shipping_Preference
20.0,Health Care,194.38236444865137,1.0,4,2.0,Express
36.0,Beauty & Personal Care,125.88801772103778,8.0,1,1.0,Express
20.0,Jewelry & Accessories,306.9539153128775,4.0,4,5.0,Express
49.0,Groceries,434.27062318970286,10.0,3,8.0,No Preference
31.0,Jewelry & Accessories,512.6745803980871,-3.0,5,3.0,No Preference
17.0,Mobile Accessories,257.95116291143796,14.0,5,3.0,No Preference
30.0,Sports & Outdoors,259.27697317735885,1.0,5,8.0,No Preference
46.0,Software & Apps,414.9411414265544,10.0,2,5.0,Express
23.0,Travel & Leisure (Flights,174.65414307951326,1.0,5,9.0,No Preference
35.0,Animal Feed,153.52067185856816,4.0,3,4.0,No Preference
30.0,Health Supplements,204.07572404698405,4.0,1,1.0,No Preference
41.0,Books,288.0940263660749,6.0,1,8.0,No Preference
37.0,Arts & Crafts,133.4935214846389,6.0,1,10.0,No Preference
36.0,Toys & Games,127.96591320737102,8.0,5,4.0,Express
26.0,Packages),296.25847593395486,8.0,5,6.0,Standard
44.0,Home Appliances,283.1860106959401,7.0,4,8.0,No Preference
49.0,Clothing,336.46983319662127,4.0,1,3.0,Standard
25.0,Arts & Crafts,39.20247779498385,6.0,4,9.0,Standard
32.0,Mobile Accessories,399.7576426030687,8.0,5,4.0,No Preference
50.0,Luxury Goods,189.29988102918074,8.0,3,4.0,Standard
27.0,Mobile Accessories,350.72231005301444,0.0,5,3.0,Standard
40.0,Baby Products,69.98858552804388,8.0,2,10.0,Express
39.0,Sports & Outdoors,221.45240445333383,4.0,2,7.0,Express
41.0,Travel & Leisure (Flights,257.6405424759741,6.0,4,9.0,No Preference
34.0,Home Appliances,494.6677921534938,9.0,5,8.0,Express
48.0,Books,337.7903530478486,7.0,5,7.0,Express
18.0,Travel & Leisure (Flights,183.48109642623334,7.0,2,7.0,Express
18.0,Groceries,145.10223985274203,3.0,2,8.0,No Preference
36.0,Electronics,349.0134186077996,10.0,2,8.0,Express
41.0,Food & Beverages,175.09230559584677,2.0,3,6.0,Express
17.0,Gardening & Outdoors,136.9706935842501,5.0,2,4.0,Express
32.0,Animal Feed,161.26646619209944,8.0,5,7.0,No Preference
30.0,Sports & Outdoors,289.87849128963046,10.0,4,6.0,Express
22.0,Beauty & Personal Care,309.16123959893014,7.0,3,4.0,Express
32.0,Health Care,396.4352367372694,9.0,4,10.0,Standard
25.0,Food & Beverages,257.8816955702455,6.0,5,10.0,Standard
34.0,Packages),353.05061323421467,9.0,2,9.0,Express
49.0,Software & Apps,124.66556930957508,4.0,4,6.0,Standard
26.0,Baby Products,347.4772108896949,0.0,3,8.0,Standard
39.0,Mobile Accessories,192.73768977531412,4.0,2,6.0,Standard
18.0,Arts & Crafts,198.27866307523718,8.0,5,10.0,Express
34.0,Furniture,317.7670738667874,12.0,3,6.0,No Preference
39.0,Clothing,214.33531175673966,7.0,4,3.0,Standard
27.0,Luxury Goods,226.57303980929964,1.0,4,9.0,Standard
45.0,Toys & Games,267.00378653876396,7.0,4,9.0,Express
22.0,Arts & Crafts,299.1640150612035,1.0,5,4.0,Standard
35.0,Home Appliances,359.6255054926125,9.0,1,8.0,Express
34.0,Books,77.45375683934168,15.0,5,6.0,Express
48.0,Animal Feed,367.994315963717,6.0,4,3.0,No Preference
32.0,Hotels,222.59250226295137,9.0,4,8.0,Standard
37.0,Hotels,190.4047240834659,5.0,2,6.0,No Preference
47.0,Books,474.5175532777061,12.0,2,7.0,No Preference
41.0,Travel & Leisure (Flights,227.98364213957828,-2.0,5,7.0,Standard
39.0,Food & Beverages,290.06948045825607,9.0,4,2.0,Express
33.0,Sports & Outdoors,144.52903853776652,9.0,4,10.0,Express
42.0,Packages),368.6062728823399,9.0,5,5.0,No Preference
44.0,Jewelry & Accessories,244.46211585018403,5.0,2,10.0,No Preference
36.0,Groceries,280.28145721582007,10.0,2,3.0,Standard
41.0,Animal Feed,497.68984694539927,12.0,5,6.0,Standard
36.0,Clothing,61.62831427604418,12.0,4,3.0,No Preference
28.0,Health Supplements,173.33517410582212,5.0,5,5.0,Express
29.0,Books,356.3715459477814,3.0,2,10.0,Express
22.0,Home Appliances,303.76483639046955,7.0,5,5.0,Standard
42.0,Luxury Goods,184.17602978219085,4.0,3,1.0,Express
29.0,Arts & Crafts,279.4330486683767,10.0,2,10.0,Standard
18.0,Furniture,238.3390323220669,4.0,4,9.0,Express
21.0,Baby Products,392.3206210872514,9.0,1,1.0,Standard
37.0,Travel & Leisure (Flights,368.4103209644919,5.0,3,8.0,No Preference
32.0,Jewelry & Accessories,506.3073086399864,3.0,1,1.0,Express
43.0,Furniture,246.74048527026304,-1.0,5,7.0,Standard
20.0,Packages),235.61023046824414,11.0,4,9.0,Express
43.0,Home Appliances,376.89985475602896,3.0,3,8.0,No Preference
49.0,Animal Feed,170.86179197779475,9.0,2,7.0,No Preference
34.0,Sports & Outdoors,262.83158387704816,12.0,2,5.0,No Preference
28.0,Electronics,102.48289146802053,4.0,3,2.0,Standard
30.0,Home Appliances,490.9944891067479,7.0,3,8.0,Standard
30.0,Beauty & Personal Care,140.8800271445322,1.0,3,4.0,No Preference
23.0,Mobile Accessories,277.6201491126767,9.0,5,5.0,Standard
50.0,Beauty & Personal Care,275.56676381818875,5.0,1,6.0,Standard
38.0,Software & Apps,236.06638646383567,11.0,2,7.0,Standard
34.0,Food & Beverages,270.0537148678004,1.0,2,3.0,Standard
34.0,Furniture,337.53949921149405,3.0,1,1.0,Express
26.0,Software & Apps,381.04771547700807,-1.0,5,2.0,Standard
46.0,Sports & Outdoors,216.35257442049792,4.0,2,5.0,Standard
22.0,Health Supplements,311.7642414043253,14.0,2,6.0,No Preference
42.0,Toys & Games,198.95047397860841,8.0,5,4.0,No Preference
32.0,Baby Products,438.17832764198266,10.0,1,5.0,No Preference
19.0,Health Supplements,150.87718051197322,7.0,5,10.0,Standard
35.0,Home Appliances,162.46337869811165,6.0,4,3.0,No Preference
16.0,Sports & Outdoors,269.2382665092882,13.0,5,5.0,No Preference
41.0,Travel & Leisure (Flights,496.6873428570981,10.0,4,3.0,Express
47.0,Software & Apps,508.1357167579484,8.0,1,7.0,No Preference
32.0,Sports & Outdoors,392.8528945540895,11.0,1,1.0,No Preference
31.0,Clothing,187.63727088616506,9.0,2,1.0,No Preference
44.0,Sports & Outdoors,369.90144664061233,2.0,3,2.0,Express
48.0,Groceries,205.9549848758549,8.0,4,8.0,No Preference
26.0,Clothing,494.29009224190713,6.0,5,3.0,Standard
25.0,Toys & Games,393.1403989110347,6.0,3,6.0,Standard
32.0,Home Appliances,361.0653983343026,2.0,5,2.0,Standard
29.0,Home Appliances,43.96448910674796,0.0,3,1.0,Standard
51.0,Food & Beverages,469.37208238110213,8.0,3,4.0,Express
49.0,Sports & Outdoors,253.472591382266,6.0,1,1.0,No Preference
35.0,Groceries,255.35623449564375,7.0,3,6.0,No Preference
46.0,Sports & Outdoors,298.3811750226199,8.0,5,9.0,No Preference
45.0,Furniture,305.0262584987364,4.0,4,8.0,No Preference
22.0,Clothing,292.3461954072782,8.0,2,9.0,No Preference
34.0,Books,295.06548633344687,16.0,4,3.0,No Preference
21.0,Baby Products,63.73626734530832,7.0,3,10.0,Standard
30.0,Food & Beverages,314.49948184173786,7.0,5,2.0,Standard
52.0,Baby Products,102.87666214746142,5.0,1,1.0,Standard
40.0,Mobile Accessories,345.51635470821776,14.0,1,8.0,Express
49.0,Packages),286.56861118937354,5.0,2,5.0,No Preference
26.0,Home Appliances,209.23137499650935,10.0,4,3.0,No Preference
36.0,Hotels,140.22308354634637,3.0,4,1.0,Standard
44.0,Software & Apps,336.109596176174,8.0,3,4.0,No Preference
39.0,Jewelry & Accessories,475.8593353601142,4.0,5,7.0,No Preference
29.0,Animal Feed,168.17565209499546,7.0,3,7.0,Standard
22.0,Packages),262.40652654668605,7.0,1,1.0,Express
20.0,Luxury Goods,175.3051423335583,11.0,2,6.0,Express
37.0,Office Supplies,297.6665129085354,9.0,2,7.0,No Preference
33.0,Travel & Leisure (Flights,401.1357412034978,6.0,5,6.0,Express
21.0,Electronics,433.01129013851215,7.0,1,8.0,Express
30.0,Packages),151.81067538023535,6.0,3,7.0,Standard
35.0,Furniture,422.29117247093694,6.0,1,3.0,Express
27.0,Electronics,351.822823373545,7.0,3,10.0,Standard
35.0,Gardening & Outdoors,340.2019690150291,7.0,1,5.0,No Preference
35.0,Travel & Leisure (Flights,389.34519575689365,6.0,5,2.0,Standard
32.0,Home Appliances,430.62978383938935,0.0,4,1.0,Standard
50.0,Mobile Accessories,62.45457113501452,3.0,3,1.0,Standard
33.0,Toys & Games,289.36667377810284,8.0,4,8.0,Standard
24.0,Electronics,283.90550942275934,4.0,3,6.0,Express
39.0,Toys & Games,290.8210823649654,6.0,3,10.0,Express
29.0,Clothing,223.90143159352078,9.0,4,6.0,Express
45.0,Books,215.87062324108493,4.0,5,8.0,Express
44.0,Beauty & Personal Care,257.7601684418422,11.0,2,9.0,Express
23.0,Furniture,45.26614277854075,6.0,4,2.0,No Preference
25.0,Home Appliances,262.05071627789425,6.0,2,6.0,No Preference
44.0,Mobile Accessories,222.50229663935312,6.0,1,8.0,Standard
38.0,Software & Apps,311.5886342769032,7.0,1,3.0,Express
42.0,Luxury Goods,182.55954109462874,10.0,2,5.0,Standard
30.0,Sports & Outdoors,147.09063291494073,8.0,4,1.0,Express
25.0,Furniture,318.05337943878624,14.0,1,5.0,No Preference
24.0,Home Appliances,317.28410876982116,2.0,4,5.0,No Preference
40.0,Food & Beverages,190.4287303696538,7.0,4,3.0,Express
22.0,Office Supplies,358.2999016728542,10.0,1,4.0,No Preference
